145.18.0.0/16
145.109.0.0/17 
146.50.0.0/16
145.19.0.0/17
145.28.0.0/16
145.92.0.0/16
193.202.240.0/20
193.202.255.0/24
193.202.240.0/20
193.202.240.0/24
193.202.250.0/24
193.202.254.0/24
216.151.176.0/21
81.171.32.0/19
216.151.180.0/24
81.171.32.0/19 
81.171.51.0/24 
81.171.80.0/21 
81.171.85.0/24 
81.171.96.0/19 
81.171.116.0/22 
81.171.120.0/24
81.171.32.0/19
81.171.32.0/19 
81.171.59.0/24
81.171.96.0/19
81.171.97.0/24
91.108.160.0/23
91.108.162.0/23
91.108.164.0/23
91.108.166.0/23
91.148.196.0/23
91.148.208.0/20
109.68.192.0/21
159.253.160.0/23
159.253.162.0/23
159.253.164.0/23
159.253.166.0/23
185.31.152.0/23
185.31.154.0/23
199.101.142.0/24
202.41.83.0/24
144.58.0.0/16
144.58.0.0/18
144.58.96.0/22
144.58.112.0/20
144.58.129.0/24
144.58.140.0/24
144.58.144.0/24
144.58.224.0/20
144.58.240.0/21
5.44.72.0/21
5.44.72.0/25
5.44.73.0/25
31.134.200.0/21
37.148.184.0/24
46.244.0.0/19
46.244.96.0/19
46.244.108.0/23
91.209.12.0/24
91.213.13.0/24
91.233.224.0/23
92.240.144.0/22
93.93.120.0/21
93.188.68.0/22
178.249.152.0/21
185.30.204.0/22
185.34.220.0/22
185.37.4.0/23
185.37.6.0/24
185.44.244.0/22
185.51.52.0/23
185.63.244.0/22
185.63.244.0/24
185.82.88.0/22
185.103.56.0/22
192.166.96.0/22
193.108.238.0/24
